record_id,plant_id,part_number,part_name,quantity,unit,weight_kg,production_date,ship_date,customer_id,status,last_modified
R-01005,A,BOLT-134,Bolt Assembly 134,825,mm,46.13,2025-08-31,2025-10-14,CU-0099,shipped,2025-10-15
R-01006,B,BRKT-109,Brkt Assembly 109,1850,mm,57.61,2024-03-31,2024-04-30,CU-0218,shipped,2024-05-01
R-01007,B,gear-117 ,Gear Assembly 117,3557,mm,65.08,2024-08-05,2024-08-15,CU-0053,shipped,2024-08-16
R-01008,B,RING-130,Ring Assembly 130,2736,mm,28.65,2025-06-04,2025-07-17,CU-0126,in_qa,2025-07-18
R-01009,C,CASE_106,Case Assembly 106,4877,mm,2.2,2025-01-03,2025-01-17,CU-0074,completed,2025-01-18
R-01010,C,BRKT_115,Brkt Assembly 115,2550,mm,14.98,2025-06-14,2025-07-05,CU-0209,in_qa,2025-07-06
R-01011,B,PLTE-130,Plte Assembly 130,2017,mm,62.94,2024-08-10,2024-09-19,CU-0007,shipped,2024-09-20
R-01012,B,GEAR-145,Gear Assembly 145,4399,mm,39.99,2025-01-31,2025-02-26,CU-0081,shipped,2025-02-27
R-01013,C,BOLT_118,Bolt Assembly 118,3639,mm,28.88,2024-03-04,2024-03-28,CU-0054,shipped,2024-03-29
R-01014,C,SHFT_136,Shft Assembly 136,2091,mm,42.7,2025-10-02,2025-10-25,CU-0156,in_qa,2025-10-26
R-01015,C,VALV_127,Valv Assembly 127,1640,mm,31.59,2025-01-20,2025-02-05,CU-0163,shipped,2025-02-06
R-01016,C,BRKT_122,Brkt Assembly 122,893,mm,23.14,2025-03-05,2025-03-26,CU-0068,shipped,2025-03-27
R-01017,C,PLTE_101,Plte Assembly 101,1364,mm,6.61,2025-05-27,2025-06-22,CU-0152,shipped,2025-06-23
R-01018,A,GEAR-107,Gear Assembly 107,1393,mm,16.0,2024-07-31,2024-08-05,CU-0085,in_qa,2024-08-06
R-01019,A,GEAR-133,Gear Assembly 133,3593,mm,5.26,2026-03-29,2026-04-21,CU-0184,shipped,2026-04-22
R-01020,C,BOLT_112,Bolt Assembly 112,498,mm,11.2,2025-12-30,2026-01-15,CU-0232,shipped,2026-01-16
R-01021,A,BRKT-128,Brkt Assembly 128,3876,mm,48.76,2025-11-10,2025-11-15,CU-0132,shipped,2025-11-16
R-01022,A,BOLT-117,Bolt Assembly 117,1088,mm,57.34,2025-11-11,2025-12-07,CU-0118,pending,2025-12-08
R-01023,C,PLTE_129,Plte Assembly 129,1934,mm,49.35,2024-06-29,2024-08-09,CU-0203,in_qa,2024-08-10
R-01024,C,GEAR_128,Gear Assembly 128,1368,mm,29.51,2025-06-06,2025-07-20,CU-0042,shipped,2025-07-21
R-01025,C,CASE_113,Case Assembly 113,1371,mm,44.2,2024-12-23,2025-01-11,CU-0157,shipped,2025-01-12
R-01026,B,VALV-111,Valv Assembly 111,1114,mm,50.54,2024-08-10,2024-08-20,CU-0005,shipped,2024-08-21
R-01027,C,BRKT_104,Brkt Assembly 104,4425,mm,12.69,2024-06-09,2024-07-04,CU-0030,completed,2024-07-05
R-01028,C,RING_116,Ring Assembly 116,2284,mm,32.31,2024-03-04,2024-03-28,CU-0012,in_qa,2024-03-29
R-01029,A,BOLT-142,Bolt Assembly 142,3421,mm,67.19,2024-07-19,2024-07-21,CU-0192,pending,2024-07-22
R-01030,A,VALV-103,Valv Assembly 103,3536,mm,38.62,2024-10-03,2024-10-11,CU-0124,shipped,2024-10-12
R-01031,A,BRKT-144,Brkt Assembly 144,2465,mm,21.16,2024-04-20,2024-05-02,CU-0113,pending,2024-05-03
R-01032,A,SHFT-108,Shft Assembly 108,733,mm,18.07,2024-07-18,2024-08-27,CU-0197,in_qa,2024-08-28
R-01033,B,BOLT-102,Bolt Assembly 102,1936,mm,68.28,2025-07-31,2025-08-16,CU-0039,completed,2025-08-17
R-01034,C,BRKT_104,Brkt Assembly 104,3696,mm,12.68,2025-01-10,2025-01-15,CU-0197,shipped,2025-01-16
R-01035,B,PLTE-111,Plte Assembly 111,183,mm,53.86,2025-12-27,2026-01-13,CU-0012,completed,2026-01-14
R-01036,C,RING_109,Ring Assembly 109,4350,mm,21.71,2024-08-13,2024-08-31,CU-0085,completed,2024-09-01
R-01037,C,CASE_124,Case Assembly 124,348,mm,5.65,2025-07-14,2025-08-23,CU-0152,pending,2025-08-24
R-01038,A,BOLT-103,Bolt Assembly 103,1400,mm,25.89,2024-05-09,2024-05-30,CU-0105,shipped,2024-05-31
R-01039,B,BRKT-134,Brkt Assembly 134,2467,mm,74.98,2024-11-22,2024-11-23,CU-0182,shipped,2024-11-24
R-01040,B,CASE-149,Case Assembly 149,32,mm,59.77,2026-02-11,2026-03-17,CU-0142,shipped,2026-03-18
R-01041,B,SHFT-105,Shft Assembly 105,4490,mm,20.04,2024-11-08,2024-12-16,CU-0209,pending,2024-12-17
R-01042,A,PLTE-142,Plte Assembly 142,4094,mm,73.47,2025-11-08,2025-11-22,CU-0217,shipped,2025-11-23
R-01043,A,GEAR-111,Gear Assembly 111,725,mm,22.24,2024-12-10,2024-12-25,CU-0223,shipped,2024-12-26
R-01044,A,BOLT-147,Bolt Assembly 147,2147,mm,17.8,2024-01-22,2024-02-09,CU-0001,shipped,2024-02-10
R-01045,B,GEAR-101,Gear Assembly 101,4112,mm,60.41,2025-05-06,2025-05-26,CU-0175,completed,2025-05-27
R-01046,B,PLTE-128,Plte Assembly 128,106,mm,72.4,2025-06-20,2025-07-14,CU-0096,completed,2025-07-15
R-01047,B,RING-130,Ring Assembly 130,169,mm,27.8,2026-04-03,2026-04-15,CU-0156,completed,2026-04-16
R-01048,A,RING-131,Ring Assembly 131,1574,mm,59.33,2025-02-26,2025-03-28,CU-0088,completed,2025-03-29
R-01049,B,CASE-144,Case Assembly 144,79,mm,27.27,2026-03-08,2026-03-11,CU-0137,shipped,2026-03-12
R-01050,B,VALV-130,Valv Assembly 130,121,mm,27.47,2025-10-23,2025-10-27,CU-0073,completed,2025-10-28
R-01051,C,BOLT_105,Bolt Assembly 105,3334,mm,45.06,2026-04-09,2026-04-21,CU-0220,in_qa,2026-04-22
R-01052,C,BOLT_129,Bolt Assembly 129,1587,mm,64.18,2024-11-30,2024-12-10,CU-0126,shipped,2024-12-11
R-01053,C,VALV_119,Valv Assembly 119,3649,mm,48.13,2026-03-05,2026-03-14,CU-0120,pending,2026-03-15
R-01054,A,RING-101,Ring Assembly 101,691,mm,41.55,2025-09-04,2025-10-04,CU-0079,in_qa,2025-10-05
R-01055,A,CASE-105,Case Assembly 105,238,mm,52.57,2025-07-25,2025-08-09,CU-0150,shipped,2025-08-10
R-01056,B,CASE-145,Case Assembly 145,13,mm,76.63,2025-11-21,2025-12-17,CU-0151,shipped,2025-12-18
R-01057,C, case_149,Case Assembly 149,440,mm,61.38,2024-07-05,2024-07-23,CU-0221,completed,2024-07-24
R-01058,B,BRKT-139,Brkt Assembly 139,597,mm,36.21,2025-01-14,2025-02-05,CU-0133,shipped,2025-02-06
R-01059,B,VALV-144,Valv Assembly 144,1425,mm,26.39,2024-04-15,2024-04-25,CU-0183,in_qa,2024-04-26
R-01060,B,BOLT-103,Bolt Assembly 103,3813,mm,25.02,2024-10-05,2024-11-10,CU-0103,completed,2024-11-11
R-01061,A,PLTE-117,Plte Assembly 117,2585,mm,60.74,2024-04-03,2024-05-12,CU-0021,shipped,2024-05-13
R-01062,B,BOLT-121,Bolt Assembly 121,1188,mm,63.28,2024-07-11,2024-07-14,CU-0058,completed,2024-07-15
R-01063,B,BOLT-125,Bolt Assembly 125,7,mm,40.09,2025-08-02,2025-08-10,CU-0158,shipped,2025-08-11
R-01064,B,PLTE-133,Plte Assembly 133,1852,mm,38.62,2024-05-19,2024-07-02,CU-0039,completed,2024-07-03
R-01065,C,GEAR_132,Gear Assembly 132,2259,mm,26.2,2025-08-05,2025-08-18,CU-0085,completed,2025-08-19
R-01066,B,BRKT-118,Brkt Assembly 118,1128,mm,34.86,2024-07-11,2024-08-23,CU-0166,in_qa,2024-08-24
R-01067,B,BRKT-111,Brkt Assembly 111,1998,mm,79.52,2025-04-18,2025-04-22,CU-0038,shipped,2025-04-23
R-01068,A,BOLT-116,Bolt Assembly 116,4333,mm,54.18,2025-04-13,2025-04-21,CU-0002,shipped,2025-04-22
R-01069,C,GEAR_105,Gear Assembly 105,3312,mm,75.44,2024-03-14,2024-04-10,CU-0173,shipped,2024-04-11
R-01070,A,GEAR-111,Gear Assembly 111,4880,mm,21.1,2025-04-08,2025-04-18,CU-0185,in_qa,2025-04-19
R-01071,C,BRKT_127,Brkt Assembly 127,3746,mm,39.93,2025-12-06,2026-01-03,CU-0210,completed,2026-01-04
R-01072,C,SHFT_134,Shft Assembly 134,4405,mm,77.55,2024-07-06,2024-07-20,CU-0159,shipped,2024-07-21
R-01073,C,PLTE_107,Plte Assembly 107,382,mm,53.84,2025-11-09,2025-12-20,CU-0199,shipped,2025-12-21
R-01074,C,PLTE_140,Plte Assembly 140,3633,mm,75.75,2025-07-04,2025-08-14,CU-0090,shipped,2025-08-15
R-01075,A,VALV-105,Valv Assembly 105,4831,mm,19.11,2025-05-26,2025-06-19,CU-0114,shipped,2025-06-20
R-01076,A,BOLT-104,Bolt Assembly 104,1734,mm,13.35,2026-05-06,2026-06-11,CU-0037,shipped,2026-06-12
R-01077,B,SHFT-125,Shft Assembly 125,2329,mm,33.48,2024-06-27,2024-07-13,CU-0207,pending,2024-07-14
R-01078,A,PLTE-123,Plte Assembly 123,4140,mm,28.64,2026-02-27,2026-03-19,CU-0024,completed,2026-03-20
R-01079,A,PLTE-132,Plte Assembly 132,1579,mm,44.97,2026-02-18,2026-03-13,CX-E480,shipped,2026-03-14
R-01080,A,SHFT-121,Shft Assembly 121,2124,mm,69.82,2025-07-22,2025-07-23,CU-0025,in_qa,2025-07-24
R-01081,B,CASE-128,Case Assembly 128,31,mm,63.48,2025-07-04,2025-08-01,CU-0124,completed,2025-08-02
R-01082,A,GEAR-119,Gear Assembly 119,528,mm,81.11,2025-07-31,2025-09-08,CU-0124,in_qa,2025-09-09
R-01083,A,CASE-132,Case Assembly 132,2056,mm,51.07,2025-01-04,2025-02-02,CU-0111,shipped,2025-02-03
R-01084,C,BOLT_107,Bolt Assembly 107,4830,mm,54.05,2024-02-03,2024-02-15,CU-0057,shipped,2024-02-16
R-01085,C,CASE_128,Case Assembly 128,370,mm,65.26,2025-12-27,2026-02-04,CU-0039,shipped,2026-02-05
R-01086,C,PLTE_118,Plte Assembly 118,1413,mm,53.03,2024-04-04,2024-04-16,CU-0178,completed,2024-04-17
R-01087,A,GEAR-139,Gear Assembly 139,3768,mm,38.73,2024-06-20,2024-07-25,CU-0034,in_qa,2024-07-26
R-01088,A,SHFT-143,Shft Assembly 143,393,mm,23.71,2024-06-14,2024-06-29,CU-0226,completed,2024-06-30
R-01089,B,BRKT-143,Brkt Assembly 143,4610,mm,73.27,2024-05-08,2024-06-15,CU-0038,shipped,2024-06-16
R-01090,B,RING-114,Ring Assembly 114,1980,mm,67.1,2025-03-07,2025-03-16,CU-0112,in_qa,2025-03-17
R-01091,A,BRKT-106,Brkt Assembly 106,4757,mm,4.82,2025-09-27,2025-10-25,CU-0202,completed,2025-10-26
R-01092,A,PLTE-128,Plte Assembly 128,3466,mm,71.56,2026-05-12,2026-06-04,CU-0095,shipped,2026-06-05
R-01093,C,CASE_133,Case Assembly 133,3370,mm,69.19,2025-11-13,2025-12-13,CU-0212,completed,2025-12-14
R-01094,C,PLTE_120,Plte Assembly 120,1240,mm,52.18,2025-07-30,2025-08-11,CU-0083,shipped,2025-08-12
R-01095,A,PLTE-117,Plte Assembly 117,4748,mm,58.52,2025-01-03,2025-02-14,CU-0187,completed,2025-02-15
R-01096,C,BRKT_137,Brkt Assembly 137,3706,mm,7.72,2025-09-09,2025-09-14,CU-0114,shipped,2025-09-15
R-01097,B,VALV-115,Valv Assembly 115,1618,mm,66.9,2026-01-30,2026-02-25,CU-0155,shipped,2026-02-26
R-01098,A,GEAR-116,Gear Assembly 116,1894,mm,11.45,2026-01-17,2026-01-31,CU-0111,shipped,2026-02-01
R-01099,B,RING-105,Ring Assembly 105,1270,mm,77.82,2024-05-10,2024-06-22,CU-0006,shipped,2024-06-23
R-01100,B,PLTE-147,Plte Assembly 147,86,mm,79.53,2025-12-28,2025-12-30,CU-0045,completed,2025-12-31
R-01101,A,SHFT-123,Shft Assembly 123,1352,mm,8.6,2025-11-07,2025-12-09,CU-0177,shipped,2025-12-10
R-01102,B,VALV-141,Valv Assembly 141,4768,mm,70.6,2024-12-16,2025-01-04,CU-0181,in_qa,2025-01-05
R-01103,B,RING-117,Ring Assembly 117,4409,mm,13.5,2025-01-29,2025-03-07,CU-0161,shipped,2025-03-08
R-01104,A,SHFT-109,Shft Assembly 109,2348,mm,6.11,2025-10-29,2025-12-09,CU-0123,pending,2025-12-10
R-01105,A,SHFT-101,Shft Assembly 101,2382,mm,51.57,2025-12-09,2026-01-02,CU-0109,in_qa,2026-01-03
R-01106,A,GEAR-110,Gear Assembly 110,4180,mm,31.78,2025-12-09,2025-12-13,CU-0062,shipped,2025-12-14
R-01107,A,GEAR-122,Gear Assembly 122,4442,mm,0.5,2024-08-07,2024-08-10,CU-0181,shipped,2024-08-11
R-01108,B,VALV-108,Valv Assembly 108,2673,mm,19.23,2024-11-08,2024-12-12,CU-0045,in_qa,2024-12-13
R-01109,B,CASE-104,Case Assembly 104,148,mm,5.52,2025-11-30,2025-12-25,CU-0180,shipped,2025-12-26
R-01110,B,CASE-135,Case Assembly 135,15,mm,63.52,2025-08-18,2025-08-21,CU-0213,completed,2025-08-22
R-01111,B,PLTE-142,Plte Assembly 142,3169,mm,73.22,2024-12-06,2024-12-12,CU-0151,in_qa,2024-12-13
R-01112,B,BOLT-123,Bolt Assembly 123,4718,mm,72.79,2024-11-17,2024-12-07,CU-0033,shipped,2024-12-08
R-01113,B,SHFT-115,Shft Assembly 115,4365,mm,69.94,2024-06-29,2024-07-02,CU-0207,completed,2024-07-03
R-01114,A,CASE-119,Case Assembly 119,1600,mm,5.55,2024-06-11,2024-07-09,CU-0175,shipped,2024-07-10
R-01115,C,RING_127,Ring Assembly 127,2281,mm,48.9,2026-02-24,2026-03-25,CU-0137,completed,2026-03-26
R-01116,B,GEAR-105,Gear Assembly 105,743,mm,73.63,2024-03-13,2024-04-22,CU-0124,completed,2024-04-23
R-01117,A,CASE-128,Case Assembly 128,4860,mm,65.4,2024-06-25,2024-08-01,CU-0176,completed,2024-08-02
R-01118,B,CASE-108,Case Assembly 108,2062,mm,73.82,2024-03-15,2024-03-24,CU-0061,completed,2024-03-25
R-01119,A,BRKT-149,Brkt Assembly 149,381,mm,15.19,2024-12-01,2025-01-06,CU-0232,in_qa,2025-01-07
R-01120,B,PLTE-105,Plte Assembly 105,3691,mm,0.77,2025-05-04,2025-05-06,CU-0015,in_qa,2025-05-07
R-01121,A,RING-138,Ring Assembly 138,1935,mm,38.74,2025-02-07,2025-03-01,CU-0222,in_qa,2025-03-02
R-01122,B,BOLT-136,Bolt Assembly 136,1679,mm,37.26,2026-04-02,2026-04-09,CU-0143,in_qa,2026-04-10
R-01123,A,CASE-119,Case Assembly 119,4771,mm,5.68,2025-08-30,2025-10-01,CU-0121,in_qa,2025-10-02
R-01124,A,BOLT-133,Bolt Assembly 133,3914,mm,7.4,2025-06-19,2025-07-18,CU-0136,shipped,2025-07-19
R-01125,C,GEAR_109,Gear Assembly 109,2200,mm,25.83,2025-12-28,2026-01-31,CU-0025,shipped,2026-02-01
R-01126,A,SHFT-147,Shft Assembly 147,3914,mm,40.75,2024-03-08,2024-04-01,CU-0059,completed,2024-04-02
R-01127,A,BOLT-119,Bolt Assembly 119,1297,mm,23.46,2025-01-09,2025-02-11,CU-0148,shipped,2025-02-12
R-01128,B,PLTE-122,Plte Assembly 122,511,mm,7.76,2025-08-03,2025-09-11,CU-0140,shipped,2025-09-12
R-01129,C,PLTE_112,Plte Assembly 112,4326,mm,53.06,2024-06-09,2024-07-01,CU-0036,completed,2024-07-02
R-01130,A,BRKT-138,Brkt Assembly 138,4538,mm,53.67,2024-06-15,2024-07-01,CU-0006,pending,2024-07-02
R-01131,B,PLTE-100,Plte Assembly 100,1870,mm,51.57,2024-02-17,2024-03-30,CU-0204,completed,2024-03-31
R-01132,B,BOLT-144,Bolt Assembly 144,3543,mm,10.07,2026-05-03,2026-06-04,CU-0140,completed,2026-06-05
R-01133,B,VALV-139,Valv Assembly 139,1611,mm,19.51,2024-03-26,2024-05-08,CU-0080,shipped,2024-05-09
R-01134,B,VALV-120,Valv Assembly 120,48,mm,52.62,2025-09-03,2025-09-19,CU-0200,in_qa,2025-09-20
R-01135,A,GEAR-127,Gear Assembly 127,877,mm,5.99,2025-08-17,2025-08-30,CU-0003,shipped,2025-08-31
R-01136,B,VALV-149,Valv Assembly 149,4624,mm,63.91,2025-03-15,2025-03-21,CX-O343,completed,2025-03-22
R-01137,B,RING-119,Ring Assembly 119,3486,mm,20.66,2025-02-06,2025-03-03,CU-0169,shipped,2025-03-04
R-01138,C,SHFT_115,Shft Assembly 115,423,mm,68.02,2025-08-15,2025-09-05,CU-0174,shipped,2025-09-06
R-01139,C,VALV_137,Valv Assembly 137,3456,mm,43.93,2025-05-02,2025-05-10,CU-0139,pending,2025-05-11
R-01140,A,BRKT-118,Brkt Assembly 118,4940,mm,34.3,2025-08-08,2025-09-04,CU-0117,shipped,2025-09-05
R-01141,B,GEAR-120,Gear Assembly 120,3668,mm,63.03,2024-11-06,2024-11-25,CU-0023,shipped,2024-11-26
R-01142,A,SHFT-127,Shft Assembly 127,970,mm,66.97,2025-04-19,2025-04-20,CU-0025,shipped,2025-04-21
R-01143,A,BRKT-141,Brkt Assembly 141,159,mm,40.25,2025-10-10,2025-10-16,CU-0121,shipped,2025-10-17
R-01144,B,RING-111,Ring Assembly 111,42,mm,6.42,2025-12-16,2026-01-10,CU-0174,completed,2026-01-11
R-01145,A,RING-105,Ring Assembly 105,3705,mm,79.12,2025-02-03,2025-02-10,CU-0101,shipped,2025-02-11
R-01146,B,BOLT-137,Bolt Assembly 137,103,mm,44.2,2026-04-23,2026-06-06,CU-0112,pending,2026-06-07
R-01147,B,PLTE-101,Plte Assembly 101,132,mm,6.85,2026-01-25,2026-01-29,CU-0094,pending,2026-01-30
R-01148,B,PLTE-128,Plte Assembly 128,31,mm,71.91,2025-07-16,2025-08-15,CU-0228,completed,2025-08-16
R-01149,A,VALV-125,Valv Assembly 125,421,mm,14.01,2025-02-12,2025-03-09,CU-0117,in_qa,2025-03-10
R-01150,B,CASE-133,Case Assembly 133,4898,mm,68.91,2024-01-07,2024-01-28,CU-0072,shipped,2024-01-29
R-01151,B,BOLT-107,Bolt Assembly 107,4186,mm,55.55,2024-03-24,2024-04-16,CU-0076,shipped,2024-04-17
R-01152,C,RING_132,Ring Assembly 132,3760,mm,1.17,2024-04-11,2024-04-28,CU-0083,completed,2024-04-29
R-01153,A,CASE-141,Case Assembly 141,263,mm,33.93,2024-06-14,2024-07-09,CU-0205,shipped,2024-07-10
R-01154,C,SHFT_120,Shft Assembly 120,2960,mm,65.47,2024-07-31,2024-08-15,CU-0185,shipped,2024-08-16
R-01155,C,GEAR_121,Gear Assembly 121,3910,mm,16.13,2025-08-12,2025-08-31,CU-0064,shipped,2025-09-01
R-01156,A,VALV-112,Valv Assembly 112,3797,mm,50.71,2025-01-22,2025-02-05,CU-0034,completed,2025-02-06
R-01157,A,SHFT-127,Shft Assembly 127,4757,mm,69.47,2024-04-14,2024-05-15,CU-0002,shipped,2024-05-16
R-01158,C,VALV_100,Valv Assembly 100,549,mm,73.12,2024-08-17,2024-08-20,CU-0016,in_qa,2024-08-21
R-01159,C,PLTE_143,Plte Assembly 143,1407,mm,29.44,2024-07-21,2024-09-01,CU-0223,shipped,2024-09-02
R-01160,A,GEAR-113,Gear Assembly 113,4717,mm,28.16,2024-08-10,2024-08-16,CU-0073,completed,2024-08-17
R-01161,B,VALV-120,Valv Assembly 120,3118,mm,55.39,2025-05-02,2025-06-05,CU-0210,completed,2025-06-06
R-01162,A,CASE-146,Case Assembly 146,1497,mm,67.25,2024-10-03,2024-10-07,CU-0210,in_qa,2024-10-08
R-01163,B,PLTE-112,Plte Assembly 112,4411,mm,51.07,2024-10-06,2024-10-31,CU-0097,shipped,2024-11-01
R-01164,A,SHFT-141,Shft Assembly 141,3366,mm,19.67,2024-02-07,2024-02-23,CU-0067,shipped,2024-02-24
R-01165,C,RING_113,Ring Assembly 113,2470,mm,76.1,2025-11-01,2025-12-13,CX-P282,shipped,2025-12-14
R-01166,C,PLTE_130,Plte Assembly 130,4329,mm,64.84,2024-08-10,2024-09-21,CU-0005,completed,2024-09-22
R-01167,B,CASE-127,Case Assembly 127,4501,mm,1.91,2024-01-16,2024-02-13,CU-0015,pending,2024-02-14
R-01168,B,RING-103,Ring Assembly 103,82,mm,50.58,2025-06-23,2025-07-30,CU-0140,shipped,2025-07-31
R-01169,B,CASE-109,Case Assembly 109,2114,mm,44.87,2026-01-16,2026-02-07,CU-0213,in_qa,2026-02-08
R-01170,C,BOLT_122,Bolt Assembly 122,3325,mm,69.09,2025-01-31,2025-03-04,CU-0185,shipped,2025-03-05
R-01171,C,RING_103,Ring Assembly 103,1907,mm,52.39,2024-05-08,2024-06-05,CU-0058,completed,2024-06-06
R-01172,B,PLTE-122,Plte Assembly 122,1480,mm,7.71,2024-05-01,2024-06-03,CU-0166,shipped,2024-06-04
R-01173,B,VALV-104,Valv Assembly 104,49,mm,81.15,2025-08-06,2025-09-19,CU-0032,completed,2025-09-20
R-01174,C,SHFT_121,Shft Assembly 121,435,mm,71.66,2026-03-10,2026-03-21,CU-0069,shipped,2026-03-22
R-01175,C,VALV_144,Valv Assembly 144,4639,mm,27.12,2025-05-23,2025-07-02,CU-0185,shipped,2025-07-03
R-01176,B,BOLT-127,Bolt Assembly 127,1264,mm,50.71,2024-05-23,2024-06-25,CU-0120,shipped,2024-06-26
R-01177,C,CASE_100,Case Assembly 100,3062,mm,41.0,2024-12-25,2025-01-27,CU-0126,shipped,2025-01-28
R-01178,B,RING-108,Ring Assembly 108,4104,mm,65.36,2024-12-09,2025-01-04,CU-0011,completed,2025-01-05
R-01179,A,BOLT-129,Bolt Assembly 129,1283,mm,65.47,2025-06-03,2025-06-05,CU-0148,shipped,2025-06-06
R-01180,A,GEAR-143,Gear Assembly 143,2107,mm,45.02,2026-04-07,2026-04-15,CU-0045,completed,2026-04-16
R-01181,B,GEAR-105,Gear Assembly 105,76,mm,75.84,2025-06-13,2025-07-12,CU-0037,completed,2025-07-13
R-01182,C,RING_102,Ring Assembly 102,1109,mm,43.93,2025-04-02,2025-05-07,CU-0039,in_qa,2025-05-08
R-01183,C,PLTE_144,Plte Assembly 144,2945,mm,1.26,2024-05-14,2024-06-07,CU-0035,shipped,2024-06-08
R-01184,A,VALV-119,Valv Assembly 119,640,mm,45.9,2026-04-10,2026-04-27,CU-0053,shipped,2026-04-28
R-01185,C,BOLT_143,Bolt Assembly 143,4929,mm,28.42,2025-01-04,2025-01-23,CU-0038,shipped,2025-01-24
R-01186,A,SHFT-113,Shft Assembly 113,1280,mm,63.82,2026-04-26,2026-04-30,CU-0176,shipped,2026-05-01
R-01187,A,RING-126,Ring Assembly 126,207,mm,43.98,2025-05-19,2025-06-15,CU-0096,shipped,2025-06-16
R-01188,A,PLTE-147,Plte Assembly 147,3690,mm,79.64,2025-10-21,2025-11-22,CU-0065,completed,2025-11-23
R-01189,C,GEAR_149,Gear Assembly 149,2197,mm,8.48,2025-07-05,2025-07-14,CU-0134,shipped,2025-07-15
R-01190,B,CASE-149,Case Assembly 149,1722,mm,59.77,2024-08-01,2024-08-20,CU-0124,shipped,2024-08-21
R-01191,A,PLTE-114,Plte Assembly 114,3053,mm,56.7,2025-04-26,2025-06-07,CU-0039,pending,2025-06-08
R-01192,B,RING-132,Ring Assembly 132,3332,mm,1.18,2024-10-03,2024-10-23,CU-0099,shipped,2024-10-24
R-01193,B,GEAR-143,Gear Assembly 143,3063,mm,45.7,2025-03-20,2025-04-15,CU-0096,shipped,2025-04-16
R-01194,C, brkt_127,Brkt Assembly 127,4800,mm,41.64,2024-07-04,2024-07-24,CU-0023,completed,2024-07-25
R-01195,C,GEAR_117,Gear Assembly 117,3878,mm,62.54,2025-04-30,2025-05-15,CU-0166,in_qa,2025-05-16
R-01196,C,VALV_141,Valv Assembly 141,4094,mm,73.14,2024-03-06,2024-04-04,CU-0049,completed,2024-04-05
R-01197,B,VALV-109,Valv Assembly 109,1825,mm,58.98,2025-02-07,2025-02-16,CU-0091,pending,2025-02-17
R-01198,B,GEAR-144,Gear Assembly 144,3150,mm,60.2,2024-05-23,2024-07-06,CU-0048,completed,2024-07-07
R-01199,B,VALV-116,Valv Assembly 116,105,mm,26.3,2026-01-03,2026-01-18,CU-0217,shipped,2026-01-19
R-01200,A,CASE-129,Case Assembly 129,244,mm,22.96,2025-10-22,2025-10-27,CU-0045,shipped,2025-10-28
R-01201,A,CASE-144,Case Assembly 144,1550,mm,26.68,2025-12-20,2026-01-11,CU-0036,completed,2026-01-12
R-01202,A,SHFT-110,Shft Assembly 110,4128,mm,22.53,2024-10-23,2024-12-06,CU-0214,shipped,2024-12-07
R-01203,C,VALV_143,Valv Assembly 143,4569,mm,49.58,2026-03-07,2026-04-12,CU-0057,shipped,2026-04-13
R-01204,A,GEAR-106,Gear Assembly 106,243,mm,7.17,2025-08-08,2025-09-08,CU-0199,shipped,2025-09-09
R-01205,A,GEAR-115,Gear Assembly 115,2888,mm,43.68,2024-04-02,2024-04-27,CU-0027,in_qa,2024-04-28
R-01206,A,BOLT-123,Bolt Assembly 123,3697,mm,72.75,2025-07-04,2025-07-12,CU-0024,shipped,2025-07-13
R-01207,A,GEAR-146,Gear Assembly 146,2168,mm,41.14,2024-09-30,2024-10-04,CU-0240,completed,2024-10-05
R-01208,B,BRKT-101,Brkt Assembly 101,94,mm,74.75,2025-12-12,2026-01-19,CU-0073,in_qa,2026-01-20
R-01209,A,GEAR-147,Gear Assembly 147,409,mm,34.97,2024-10-18,2024-11-13,CU-0005,in_qa,2024-11-14
R-01210,C,VALV_101,Valv Assembly 101,3272,mm,19.12,2025-10-07,2025-11-04,CU-0053,shipped,2025-11-05
R-01211,C,CASE_134,Case Assembly 134,2919,mm,57.31,2025-09-18,2025-10-05,CU-0148,shipped,2025-10-06
R-01212,B,PLTE-138,Plte Assembly 138,717,mm,51.79,2024-12-19,2025-01-12,CU-0137,shipped,2025-01-13
R-01213,A,VALV-134,Valv Assembly 134,837,mm,20.68,2025-07-07,2025-08-17,CX-L643,in_qa,2025-08-18
R-01214,B,BRKT-128,Brkt Assembly 128,3331,mm,47.29,2024-05-13,2024-06-21,CU-0002,completed,2024-06-22
R-01215,B,RING-131,Ring Assembly 131,1457,mm,59.65,2024-03-16,2024-04-29,CU-0024,completed,2024-04-30
R-01216,A,BRKT-140,Brkt Assembly 140,4939,mm,9.77,2025-10-01,2025-10-06,CU-0200,shipped,2025-10-07
R-01217,A,GEAR-133,Gear Assembly 133,252,mm,5.28,2024-10-26,2024-12-08,CU-0188,completed,2024-12-09
R-01218,B,BOLT-119,Bolt Assembly 119,528,mm,23.43,2025-04-22,2025-05-04,CU-0215,completed,2025-05-05
R-01219,C,GEAR_112,Gear Assembly 112,144,mm,66.81,2025-01-22,2025-02-14,CU-0008,shipped,2025-02-15
R-01220,A,RING-115,Ring Assembly 115,841,mm,55.54,2025-01-04,2025-02-13,CU-0211,shipped,2025-02-14
R-01221,C,VALV_105,Valv Assembly 105,51,mm,19.65,2025-02-21,2025-03-06,CU-0020,completed,2025-03-07
